id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1265701573168181250,1265701573168181250,1590601745000,2020-05-28,02:49:05,,18691124,cassiuslife_,CASSIUS,,"The fatal arrest of George Floyd has everyone speaking out.

READ:  http://ow.ly/tfKH30qK85x 
📸 Getty
#Lebronjames #Kaepernick #Istandwithkap #Georgefloyd #Icantbreathe #Blacklivesmatter pic.twitter.com/qIMh4WeakJ",[],['http://ow.ly/tfKH30qK85x'],['https://pbs.twimg.com/media/EZCs35rXgAAvwlx.jpg'],0,3,3,"['#lebronjames', '#kaepernick', '#istandwithkap', '#georgefloyd', '#icantbreathe', '#blacklivesmatter']",[],https://twitter.com/CassiusLife_/status/1265701573168181250,False,,0,,,,,,,"[{'user_id': '18691124', 'username': 'CassiusLife_'}]",,,,
1265701550032371712,1265623869194473476,1590601739000,2020-05-28,02:48:59,,957390004162002950,lvlylalu,Lauren B,,"My souls aches as much as its angered🥺🤬
""my heart hurt"" ~ George Floyd
#GeorgeFloyd #icantbreathe #RestinPeace #RestInPower",['sistahealing'],[],[],0,0,3,"['#georgefloyd', '#icantbreathe', '#restinpeace', '#restinpower']",[],https://twitter.com/Lvlylalu/status/1265701550032371712,False,,0,,,,,,,"[{'user_id': '957390004162002950', 'username': 'Lvlylalu'}, {'user_id': '1159777713781182465', 'username': 'SistaHealing'}]",,,,
1265700479666991106,1265700479666991106,1590601484000,2020-05-28,02:44:44,,50824116,qbshay727,Shalanda Curtis Morris,,Sadly I believe there will be many more “Karen’s” calling the police hoping for an outcome like George Floyd. Stay vigilant and safe my people!! #GeorgeFloyd #JusticeForGeorgeFloyd #icantbreathe #MinneapolisPoliceMurderdHim #RIPGeorgeFloyd #racism #GeorgeFloydWasMurdered,[],[],[],0,0,3,"['#georgefloyd', '#justiceforgeorgefloyd', '#icantbreathe', '#minneapolispolicemurderdhim', '#ripgeorgefloyd', '#racism', '#georgefloydwasmurdered']",[],https://twitter.com/qbshay727/status/1265700479666991106,False,,0,,,,,,,"[{'user_id': '50824116', 'username': 'qbshay727'}]",,,,
1265700219079065608,1265700219079065608,1590601422000,2020-05-28,02:43:42,,777904983144562688,bg_ken971,Humble,,Why are the officers involved in George Floyd's murder still walking free and no chargers have been filed yet? #GeorgeFloyd #JusticeForGeorgeFloyd #icantbreathe #MinneapolisPoliceMurderdHim #RIPGeorgeFloyd,[],[],[],0,0,1,"['#georgefloyd', '#justiceforgeorgefloyd', '#icantbreathe', '#minneapolispolicemurderdhim', '#ripgeorgefloyd']",[],https://twitter.com/Bg_Ken971/status/1265700219079065608,False,,0,,,,,,,"[{'user_id': '777904983144562688', 'username': 'Bg_Ken971'}]",,,,
1265700205997035521,1265700205997035521,1590601419000,2020-05-28,02:43:39,,1532683519,harshfieldgreg,Gregory Harshfield,,This is George Floyd. He was a man and he was loved. He cried out for his mother as a man suffocated him in the street. He was a human being and with his last breath he cried for the woman who raised him. I'm sorry to all you mothers out there... #GeorgeFloyd #icantbreathe  pic.twitter.com/4YeWTvz4vj,[],[],['https://pbs.twimg.com/media/EZCroJVXQAAOxO8.jpg'],0,4,14,"['#georgefloyd', '#icantbreathe']",[],https://twitter.com/HarshfieldGreg/status/1265700205997035521,False,,0,,,,,,,"[{'user_id': '1532683519', 'username': 'HarshfieldGreg'}]",,,,
1265700086824214531,1265700086824214531,1590601390000,2020-05-28,02:43:10,,2934364265,jessicafuller84,jessica,,George Floyd murder by police is why I can’t forgive Doja Cat history of mocking police brutality. #GeorgeFloyd #JusticeForGeorgeFloyd #icantbreathe #DojaCat #dojacatcancelled #dojacatisoverparty pic.twitter.com/RGAIPuhpHq,[],[],['https://pbs.twimg.com/media/EZCrhPkXgAs0GYT.jpg'],1,3,12,"['#georgefloyd', '#justiceforgeorgefloyd', '#icantbreathe', '#dojacat', '#dojacatcancelled', '#dojacatisoverparty']",[],https://twitter.com/jessicafuller84/status/1265700086824214531,False,,0,,,,,,,"[{'user_id': '2934364265', 'username': 'jessicafuller84'}]",,,,
1265699535126437894,1265699535126437894,1590601259000,2020-05-28,02:40:59,,1252496999594823680,cassiaglx,yıkılmadım ama,,"Now, we all can’t breathe. Rest in peace  George Floyd.  #GeorgeFloyd #JusticeForGeorgeFloyd #icantbreathe  https://twitter.com/Jorgensen4POTUS/status/1265682679720226816 …",[],['https://twitter.com/Jorgensen4POTUS/status/1265682679720226816'],[],0,0,0,"['#georgefloyd', '#justiceforgeorgefloyd', '#icantbreathe']",[],https://twitter.com/cassiaglx/status/1265699535126437894,False,https://twitter.com/Jorgensen4POTUS/status/1265682679720226816,0,,,,,,,"[{'user_id': '1252496999594823680', 'username': 'cassiaglx'}]",,,,
1265699016106483712,1265699016106483712,1590601135000,2020-05-28,02:38:55,,952598636,jazminetania,J Babe♡,,The hate you give is a representation of the world today! Rip  George Floyd #GeorgeFloyd #GeorgeFloydWasMurdered #BlackLivesMatter #icantbreathe #thehateyougive,[],[],[],0,0,0,"['#georgefloyd', '#georgefloydwasmurdered', '#blacklivesmatter', '#icantbreathe', '#thehateyougive']",[],https://twitter.com/JazmineTania/status/1265699016106483712,False,,0,,,,,,,"[{'user_id': '952598636', 'username': 'JazmineTania'}]",,,,
1265698247244427265,1265698247244427265,1590600952000,2020-05-28,02:35:52,,20871896,stephenwesner,Stephen Wesner,,My friend @jstnwallace posted this verse on Facebook in response to this heinous murder. George Floyd. He was murdered. Say his name. Demand justice. #BlackLivesMatter #icantbreathe #GeorgeFloyd #JusticeForGeorgeFloyd  https://twitter.com/ShaneClaiborne/status/1265374914330218498 … pic.twitter.com/rweAaRsAqH,['jstnwallace'],['https://twitter.com/ShaneClaiborne/status/1265374914330218498'],['https://pbs.twimg.com/media/EZCp2JDX0AA2Rxe.jpg'],0,0,3,"['#blacklivesmatter', '#icantbreathe', '#georgefloyd', '#justiceforgeorgefloyd']",[],https://twitter.com/stephenwesner/status/1265698247244427265,False,,0,,,,,,,"[{'user_id': '20871896', 'username': 'stephenwesner'}, {'user_id': '18361385', 'username': 'jstnwallace'}]",,,,
1265698120828100610,1265698120828100610,1590600922000,2020-05-28,02:35:22,,869612519652044800,speakin4myself,Speakin 4 Myself,,"Derek Chauvin, Minneapolis Cop Shown Kneeling on George Floyd’s Neck, Hires Philando Castile Shooter’s Lawyer

🕊️🕊️ #GeorgeFloyd
#DerekChauvin
#TomKelly
#JeronimoYanez
#Philando Castile  https://www.instagram.com/p/CAsyub1FGtx/?igshid=111liwd8oeq9c …",[],['https://www.instagram.com/p/CAsyub1FGtx/?igshid=111liwd8oeq9c'],[],0,0,0,"['#georgefloyd', '#derekchauvin', '#tomkelly', '#jeronimoyanez', '#philando']",[],https://twitter.com/Speakin4Myself/status/1265698120828100610,False,,0,,,,,,,"[{'user_id': '869612519652044800', 'username': 'Speakin4Myself'}]",,,,
